brand,brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti Swift Dzire VDI,Maruti,2014,2.5662564153311536,145500,False,True,True,1,23.4,1248.0,0.0,5.0
Skoda Rapid 1.5 TDI Ambition,Skoda,2014,2.5511045968025123,120000,False,True,True,2,21.14,1498.0,0.0,5.0
Honda City 2017-2020 EXi,Honda,2006,2.482432784973651,140000,True,True,True,3,17.7,1497.0,0.0,5.0
Hyundai i20 Sportz Diesel,Hyundai,2010,2.5115368702785252,127000,False,True,True,1,23.0,1396.0,0.0,5.0
Maruti Swift VXI BSIII,Maruti,2007,2.46600324507219,120000,True,True,True,1,16.1,1298.0,0.0,5.0
Hyundai Xcent 1.2 VTVT E Plus,Hyundai,2017,2.5645285001361646,45000,True,True,True,1,20.14,1197.0,0.0,5.0
Maruti 800 DX BSII,Maruti,2001,2.3715902894886067,5000,True,True,True,2,16.1,796.0,0.0,4.0
Toyota Etios VXD,Toyota,2011,2.5467609805721936,90000,False,True,True,1,23.59,1364.0,0.0,5.0
Ford Figo Diesel Celebration Edition,Ford,2013,2.5019335857292173,169000,False,True,True,1,20.0,1399.0,0.0,5.0
Renault Duster 110PS Diesel RxL,Renault,2014,2.5743179027663876,68000,False,True,True,2,19.01,1461.0,0.0,5.0
Maruti Zen LX,Maruti,2005,2.4362015694015686,100000,True,True,True,2,17.3,993.0,0.0,5.0
Maruti Swift Dzire VDi,Maruti,2009,2.5291264557754007,140000,False,True,True,2,19.3,1248.0,0.0,5.0
Maruti Swift 1.3 VXi,Maruti,2007,2.5019335857292173,80000,True,True,True,2,0.0,1248.0,,5.0
Maruti Wagon R LXI Minor,Maruti,2009,2.493264304579342,90000,True,True,True,2,18.9,1061.0,0.0,5.0
Mahindra KUV 100 mFALCON G80 K8 5str,Mahindra,2016,2.5571668309410573,40000,True,True,True,1,18.15,1198.0,0.0,5.0
Maruti Ertiga SHVS VDI,Maruti,2016,2.6074547443609837,70000,False,True,True,2,24.52,1248.0,0.0,7.0
Hyundai i20 1.4 CRDi Asta,Hyundai,2012,2.5743179027663876,53000,False,True,True,2,23.0,1396.0,0.0,5.0
Maruti Alto LX,Maruti,2002,2.478082633484265,80000,True,True,True,2,19.7,796.0,0.0,5.0
Hyundai i20 2015-2017 Asta 1.4 CRDi,Hyundai,2016,2.5974796982710355,100000,False,True,True,1,22.54,1396.0,0.0,5.0
Mahindra Verito 1.5 D4 BSIII,Mahindra,2011,2.4904587564623863,100000,False,True,True,2,21.0,1461.0,0.0,5.0
Honda WR-V i-DTEC VX,Honda,2017,2.6220722727261374,50000,False,True,True,1,25.5,1498.0,0.0,5.0
Maruti Swift Dzire ZDI,Maruti,2015,2.578029100497648,40000,False,True,True,1,26.59,1248.0,0.0,5.0
Maruti SX4 ZDI,Maruti,2012,2.5881162238935986,72000,False,True,True,1,21.5,1248.0,0.0,5.0
Tata Tigor 2017-2020 XZ,Tata,2018,2.5743179027663876,35000,True,True,True,1,20.3,1199.0,0.0,5.0
